dyn,pqif,seed,sim,vr,f,quadrant,shape,mean_q,std_q,mean_all,std_all
oscillations,0.25,30,1,-8.5,14.44,q3,"(150, 50)",-0.0004449393678715352,0.0641491938491151,-1.7660948985162404e-19,0.06437346916364868
oscillations,0.25,30,1,-8.5,14.44,q4,"(150, 150)",0.00015065293375617563,0.06417604685074048,-1.7660948985162404e-19,0.06437346916364868
oscillations,0.25,31,1,-8.5,14.44,q1,"(50, 50)",-0.003299917582439378,0.06220018086876379,1.8829159337235694e-19,0.06394705032924314
oscillations,0.25,31,1,-8.5,14.44,q2,"(50, 150)",0.001058765976207963,0.0625702539994496,1.8829159337235694e-19,0.06394705032924314
oscillations,0.25,31,1,-8.5,14.44,q3,"(150, 50)",0.0012090394463468701,0.06331187508651359,1.8829159337235694e-19,0.06394705032924314
oscillations,0.25,31,1,-8.5,14.44,q4,"(150, 150)",-0.00041250221062374493,0.06479117489815953,1.8829159337235694e-19,0.06394705032924314
oscillations,0.25,32,1,-8.5,14.44,q1,"(50, 50)",0.0009222514990796878,0.06261389303136373,-6.508300119232975e-20,0.06436460997006692
oscillations,0.25,32,1,-8.5,14.44,q2,"(50, 150)",-0.0003168572128569288,0.06471220173027534,-6.508300119232975e-20,0.06436460997006692
oscillations,0.25,32,1,-8.5,14.44,q3,"(150, 50)",0.0007497329737434966,0.06505656972024099,-6.508300119232975e-20,0.06436460997006692
oscillations,0.25,32,1,-8.5,14.44,q4,"(150, 150)",-0.00025751256032358305,0.06420524176577554,-6.508300119232975e-20,0.06436460997006692
oscillations,0.25,33,1,-8.5,14.44,q1,"(50, 50)",-0.000997456526893198,0.06303957704991817,3.7187172152910955e-20,0.06461748405919485
oscillations,0.25,33,1,-8.5,14.44,q2,"(50, 150)",0.00034518720256528616,0.06502613918455744,3.7187172152910955e-20,0.06461748405919485
oscillations,0.25,33,1,-8.5,14.44,q3,"(150, 50)",0.0015263245871451692,0.06405477706543147,3.7187172152910955e-20,0.06461748405919485
oscillations,0.25,33,1,-8.5,14.44,q4,"(150, 150)",-0.0005031041661893275,0.06483550374787525,3.7187172152910955e-20,0.06461748405919485
oscillations,0.25,34,1,-8.5,14.44,q1,"(50, 50)",0.0023953433594943543,0.06139614706028257,1.4526239122230842e-19,0.06318298809404227
oscillations,0.25,34,1,-8.5,14.44,q2,"(50, 150)",-0.0007875534725098078,0.06194112308960642,1.4526239122230842e-19,0.06318298809404227
oscillations,0.25,34,1,-8.5,14.44,q3,"(150, 50)",0.000402059924899584,0.06409372748397811,1.4526239122230842e-19,0.06318298809404227
oscillations,0.25,34,1,-8.5,14.44,q4,"(150, 150)",-0.0001324425646533043,0.06348511114811421,1.4526239122230842e-19,0.06318298809404227
oscillations,0.25,35,1,-8.5,14.44,q1,"(50, 50)",0.0031658336811937918,0.0625534268863548,-5.3469992391277743e-20,0.0641968347408365
oscillations,0.25,35,1,-8.5,14.44,q2,"(50, 150)",-0.001030284469932366,0.06412076557807272,-5.3469992391277743e-20,0.0641968347408365
oscillations,0.25,35,1,-8.5,14.44,q3,"(150, 50)",-0.00040087017697433845,0.06325238204744449,-5.3469992391277743e-20,0.0641968347408365
oscillations,0.25,35,1,-8.5,14.44,q4,"(150, 150)",0.0001345641202216137,0.06470375600787401,-5.3469992391277743e-20,0.0641968347408365
oscillations,0.25,36,1,-8.5,14.44,q1,"(50, 50)",-0.0013878925696209764,0.0639977414166513,1.5572128339031462e-19,0.06438389708894654
oscillations,0.25,36,1,-8.5,14.44,q2,"(50, 150)",0.0004575268091380714,0.06537231526902136,1.5572128339031462e-19,0.06438389708894654
oscillations,0.25,36,1,-8.5,14.44,q3,"(150, 50)",-0.0020395851877732948,0.06357754626010907,1.5572128339031462e-19,0.06438389708894654
oscillations,0.25,36,1,-8.5,14.44,q4,"(150, 150)",0.0006580086711554196,0.06433469452486008,1.5572128339031462e-19,0.06438389708894654
oscillations,0.25,37,1,-8.5,14.44,q1,"(50, 50)",0.002514656424889977,0.06400062424896469,0.0,0.06427112217807932
oscillations,0.25,37,1,-8.5,14.44,q2,"(50, 150)",-0.0008604257726835038,0.06475551599560837,0.0,0.06427112217807932
oscillations,0.25,37,1,-8.5,14.44,q3,"(150, 50)",0.0014402157548415655,0.06484396441600336,0.0,0.06427112217807932
oscillations,0.25,37,1,-8.5,14.44,q4,"(150, 150)",-0.0004988529442740424,0.06392380869222963,0.0,0.06427112217807932
oscillations,0.25,38,1,-8.5,14.44,q1,"(50, 50)",-4.282772265116162e-05,0.061339802015246636,-1.438954501353786e-19,0.0642510352890208
oscillations,0.25,38,1,-8.5,14.44,q2,"(50, 150)",1.3708738311365229e-05,0.06525620013030489,-1.438954501353786e-19,0.0642510352890208
oscillations,0.25,38,1,-8.5,14.44,q3,"(150, 50)",-0.0017725241971524956,0.06490118685410369,-1.438954501353786e-19,0.0642510352890208
oscillations,0.25,38,1,-8.5,14.44,q4,"(150, 150)",0.0005979251991282621,0.06398549609765679,-1.438954501353786e-19,0.0642510352890208
oscillations,0.25,39,1,-8.5,14.44,q1,"(50, 50)",0.0019567695836475545,0.06432271267778077,5.3469992391277743e-20,0.06431176961110661
oscillations,0.25,39,1,-8.5,14.44,q2,"(50, 150)",-0.0006484490133506494,0.06360690181419963,5.3469992391277743e-20,0.06431176961110661
oscillations,0.25,39,1,-8.5,14.44,q3,"(150, 50)",-0.0030002161885726766,0.06448705450119539,5.3469992391277743e-20,0.06431176961110661
oscillations,0.25,39,1,-8.5,14.44,q4,"(150, 150)",0.0009908807690690669,0.06444879090668823,5.3469992391277743e-20,0.06431176961110661
